id,name_en,name_ja,name_kana,category,prefecture,address,Lien google map,city,score
1180149,Togano Station,斗賀野,,station,Kochi,"Higashigumi, Sakawa, Takaoka District, Kochi 789-1232, Japan",https://www.google.com/maps/place/?q=place_id:ChIJodyUIzQ2TjURGzIHvyGq0b0,Sakawa,10
1180150,Asō Station,吾桑,,station,Kochi,"Ainogoko, Susaki, Kochi 785-0047, Japan",https://www.google.com/maps/place/?q=place_id:ChIJZ_r5301ITjURRe2Mgf392oI,Susaki,10
1180151,Ōnogō Station,多ノ郷,,station,Kochi,"Myokenmachi, Susaki, Kochi 785-0042, Japan",https://www.google.com/maps/place/?q=place_id:ChIJdZu5TeNITjUREcME7Od5DQI,Susaki,10
1180152,Ōma Station,大間,,station,Kochi,"1 Oma Higashimachi, Susaki, Kochi 785-0035, Japan",https://www.google.com/maps/place/?q=place_id:ChIJbfA-Gx9JTjURcFJP0cYIljk,Susaki,10
1180153,Susaki Station,須崎,,station,Kochi,"1-chōme-10-13 Haramachi, Susaki, Kochi 785-0001, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ6_gzntdITjURkHHv7-LTdwg,Susaki,10
1180154,Tosa-Shinjō Station,土佐新荘,,station,Kochi,"Shimobunko, Susaki, Kochi 785-0022, Japan",https://www.google.com/maps/place/?q=place_id:ChIJkbPAJ8xOTjURbmlPditIVHw,Susaki,10
1180155,Awa Station,安和,,station,Kochi,"Awa, Susaki, Kochi 785-0024, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ550tm4ZOTjURAlja3ESqUZo,Susaki,10
1180156,Tosa-Kure Station,土佐久礼,,station,Kochi,"Kure, Nakatosa, Takaoka District, Kochi 789-1301, Japan",https://www.google.com/maps/place/?q=place_id:ChIJTUnQXm5STjUR4CdBHjV2k04,Nakatosa,10
1180157,Kageno Station,影野,,station,Kochi,"Kageno, Shimanto, Takaoka District, Kochi 786-0032, Japan",https://www.google.com/maps/place/?q=place_id:ChIJkRyWXUurTzURQouwOOzT-DU,Shimanto,10
1180158,Rokutanji Station,六反地,,station,Kochi,"Shimokureji, Shimanto, Takaoka District, Kochi 786-0036, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ2_GShy6rTzURxbGTTrJp3fQ,Shimanto,10
1180159,Niida Station,仁井田,,station,Kochi,"Niida, Shimanto, Takaoka District, Kochi 786-0021, Japan",https://www.google.com/maps/place/?q=place_id:ChIJGY1FHsSqTzURk-F7lERFJJ4,Shimanto,10
1180160,Kubokawa Station,窪川,,station,Kochi,"16 Kotohiramachi, Shimanto, Takaoka District, Kochi 786-0013, Japan",https://www.google.com/maps/place/?q=place_id:ChIJrfYAmF8ATzUR1Jv0rqe2gvg,Shimanto,50
1180161,Omurajinjya-Mae Station,小村神社前,,station,Kochi,"Shimobun, Hidaka, Takaoka District, Kochi 781-2151, Japan",https://www.google.com/maps/place/?q=place_id:ChIJl6lXzGk7TjURje12UlRGDtE,Hidaka,10
1180201,Takamatsu Station,高松,,station,Kagawa,"Japan, 〒760-0011 Kagawa, Takamatsu, Hamanochō, 1, １−２０",https://www.google.com/maps/place/?q=place_id:ChIJzV3k6YjrUzUR20YlrkzEDtY,Takamatsu,80
1180202,Shōwachō Station,昭和町,,station,Kagawa,"2-chome-6 Showacho, Takamatsu, Kagawa 760-0014, Japan",https://www.google.com/maps/place/?q=place_id:ChIJUdjBtunrUzURLTExNiVIreg,Takamatsu,10
1180203,Ritsurin-Kōen-Kitaguchi Station,栗林公園北口,,station,Kagawa,"10 Nakanocho, Takamatsu, Kagawa 760-0008, Japan",https://www.google.com/maps/place/?q=place_id:ChIJY8VM1L7rUzUR06_Kvq0R6rc,Takamatsu,10
1180204,Ritsurin Station,栗林,,station,Kagawa,"3-chome-19 Fujitsukacho, Takamatsu, Kagawa 760-0071, Japan",https://www.google.com/maps/place/?q=place_id:ChIJJT3p86HrUzURqI__02x9PGc,Takamatsu,50
1180205,Kitachō Station,木太町,,station,Kagawa,"Kitacho, Takamatsu, Kagawa 760-0080, Japan",https://www.google.com/maps/place/?q=place_id:ChIJhwmc41zrUzUR4BHZ1RyVZiM,Takamatsu,10
1180206,Yashima Station,屋島,,station,Kagawa,"Takamatsucho, Takamatsu, Kagawa 761-0104, Japan",https://www.google.com/maps/place/?q=place_id:ChIJf9VSjUSTUzURd2aT-7ZB2JA,Takamatsu,10
1180207,Furutakamatsu-Minami Station,古高松南,,station,Kagawa,"Takamatsucho, Takamatsu, Kagawa 761-0104, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ-eu_sBOTUzURaLte0NX0NzU,Takamatsu,10
1180208,Yakuriguchi Station,八栗口,,station,Kagawa,"Murecho Mure, Takamatsu, Kagawa 761-0121, Japan",https://www.google.com/maps/place/?q=place_id:ChIJZ2ugTKaTUzURRHrOxhoLJtc,Takamatsu,10
1180209,Sanuki-Mure Station,讃岐牟礼,,station,Kagawa,"Murecho Omachi, Takamatsu, Kagawa 761-0122, Japan",https://www.google.com/maps/place/?q=place_id:ChIJp5vavrCTUzURR6EiYnc0C9k,Takamatsu,10
1180210,Shido Station,志度,,station,Kagawa,"Shido, Sanuki, Kagawa 769-2101, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ-UiYY2KRUzURKa9M00ODtgU,Sanuki,10
1180211,Orange Town Station,オレンジタウン,,station,Kagawa,"Shido, Sanuki, Kagawa 769-2101, Japan",https://www.google.com/maps/place/?q=place_id:ChIJR-ybGlCRUzURYWTwMirhJJE,Sanuki,10
1180212,Zōda Station,造田,,station,Kagawa,"Zotanomada, Sanuki, Kagawa 769-2313, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ1_gFrrCWUzURKrAehrCx23c,Sanuki,10
1180213,Kanzaki Station,神前,,station,Kagawa,"Sangawamachi Kanzaki, Sanuki, Kagawa 769-2323, Japan",https://www.google.com/maps/place/?q=place_id:ChIJeRI2iSqRUzUR4esQaHmca-E,Sanuki,10
1180214,Sanuki-Tsuda Station,讃岐津田,,station,Kagawa,"Tsudamachi Tsuda, Sanuki, Kagawa 769-2401, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ3UVw2XeaUzURzyZN6rNBsd8,Sanuki,10
1180215,Tsuruwa Station,鶴羽,,station,Kagawa,"Tsudamachi Tsuruwa, Sanuki, Kagawa 769-2402, Japan",https://www.google.com/maps/place/?q=place_id:ChIJazvQAluaUzURk6X84x0DGCs,Sanuki,10
1180216,Nibu Station,丹生,,station,Kagawa,"41 Doi, Higashikagawa, Kagawa 769-2516, Japan",https://www.google.com/maps/place/?q=place_id:ChIJlWXhHcGbUzURF7rpIg0K528,Higashikagawa,10
1180217,Sambommatsu Station,三本松,,station,Kagawa,"Sanbonmatsu, Higashikagawa, Kagawa 769-2601, Japan",https://www.google.com/maps/place/?q=place_id:ChIJkyNzaWWcUzURDUWW1HOK1Gw,Higashikagawa,10
1180218,Sanuki-Shirotori Station,讃岐白鳥,,station,Kagawa,"648-2 Matsubara, Higashikagawa, Kagawa 769-2702, Japan",https://www.google.com/maps/place/?q=place_id:ChIJpXz3J6qdUzUR2ctV3Nx3yRw,Higashikagawa,10
1180219,Hiketa Station,引田,,station,Kagawa,"Hiketa, Higashikagawa, Kagawa 769-2901, Japan",https://www.google.com/maps/place/?q=place_id:ChIJzwWBfSl2UzURwvgAO7tHT4w,Higashikagawa,10
1180220,Sanuki-Aioi Station,讃岐相生,,station,Kagawa,"Japan, 〒769-2903 Kagawa, Higashikagawa, Minamino, ８２３",https://www.google.com/maps/place/?q=place_id:ChIJzy95HU92UzURWBagx0ee5HI,Higashikagawa,10
1180221,Awa-Ōmiya Station,阿波大宮,,station,Tokushima,"Kawahigashi Osaka, Itano, Itano District, Tokushima 779-0101, Japan",https://www.google.com/maps/place/?q=place_id:ChIJIWw-VZp2UzURfriJx14wAaE,Itano,10
1180222,Itano Station,板野,,station,Tokushima,"Japan, 〒779-0105 Tokushima, Itano District, Itano, Ōtera, Hirata, 板野郡板野町大寺字平田",https://www.google.com/maps/place/?q=place_id:ChIJcVC0GnJ0UzURQHSbFPuj_c8,Itano,10
1180223,Awa-Kawabata Station,阿波川端,,station,Tokushima,"Nakatsubo Kawabata, Itano, Itano District, Tokushima 779-0102, Japan",https://www.google.com/maps/place/?q=place_id:ChIJjwCQ0PpzUzUR7fCl_dE0NwE,Itano,10
1180224,Bandō Station,板東,,station,Tokushima,"Tsujimido Oasacho Bando, Naruto, Tokushima 779-0232, Japan",https://www.google.com/maps/place/?q=place_id:ChIJw-dbv3BxUzUR3mUI7icyb5E,Naruto,10
1180225,Ikenotani Station,池谷,,station,Tokushima,"Yanaginomoto-100 Ōasachō Ikenotani, Naruto, Tokushima 779-0303, Japan",https://www.google.com/maps/place/?q=place_id:ChIJM8CJgZVxUzURROs-Q7ACJL4,Naruto,10
1180226,Shōzui Station,勝瑞,,station,Tokushima,"Higashikatsuchi-364-2 Shōzui, Aizumi, Itano District, Tokushima 771-1273, Japan",https://www.google.com/maps/place/?q=place_id:ChIJa4bVCCNyUzURklTqqRoajU0,Aizumi,10
1180227,Yoshinari Station,吉成,,station,Tokushima,"Todoroki Ojincho Yoshinari, Tokushima, 771-1153, Japan",https://www.google.com/maps/place/?q=place_id:ChIJLcAbzj9yUzURexNQRQMThpM,Tokushima,10
1180228,Sako Station,佐古,,station,Tokushima,"19 Sako 2bancho, Tokushima, 770-0022, Japan",https://www.google.com/maps/place/?q=place_id:ChIJewPVIZdyUzURXCjMR7EGLGU,Tokushima,10
1180229,Tokushima Station,徳島,,station,Tokushima,"1-chōme-61 Terashimahonchōnishi, Tokushima, 770-0831, Japan",https://www.google.com/maps/place/?q=place_id:ChIJCR0s22FtUzURLNDpqrRSHgc,Tokushima,80
1180303,Kuramoto Station,蔵本,,station,Tokushima,"2 Chome Kuramotocho, Tokushima, 770-0042, Japan",https://www.google.com/maps/place/?q=place_id:ChIJD_SqTtpyUzURXh5Z-cAT8Oc,Tokushima,10
1180304,Akui Station,鮎喰,,station,Tokushima,"4 Chome Minamishimadacho, Tokushima, 770-0053, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ7XwUPyxzUzURYS9hQo93Dio,Tokushima,10
1180305,Kō Station,府中,,station,Tokushima,"Kou Kokufucho, Tokushima, 779-3122, Japan",https://www.google.com/maps/place/?q=place_id:ChIJhQyGF6UMUzURKMKKPknfRiM,Tokushima,10
1180306,Ishii Station,石井,,station,Tokushima,"Japan, 〒779-3233 Tokushima, Myozai District, Ishii, Ishii, 徳島県名西郡石井町石井字石井３５５−１",https://www.google.com/maps/place/?q=place_id:ChIJU6bcYwYLUzURXexufZlY_qg,Ishii,10
1180307,Shimo-Ura Station,下浦,,station,Tokushima,"Shimoura Urasho, Ishii, Myozai District, Tokushima 779-3244, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ2d28L0MKUzURkukKVfcmkqE,Ishii,10
